TIME_LINE,PRICE
2000-Jan,1.279
2000-Feb,1.371
2000-Mar,1.498
2000-Apr,1.437
2000-May,1.456
2000-Jun,1.612
2000-Jul,1.529
2000-Aug,1.439
2000-Sep,1.525
2000-Oct,1.508
2000-Nov,1.495
2000-Dec,1.418
2001-Jan,1.427
2001-Feb,1.431
2001-Mar,1.384
2001-Apr,1.517
2001-May,1.654
2001-Jun,1.548
2001-Jul,1.34
2001-Aug,1.386
2001-Sep,1.506
2001-Oct,1.274
2001-Nov,1.139
2001-Dec,1.072
2002-Jan,1.094
2002-Feb,1.09
2002-Mar,1.221
2002-Apr,1.362
2002-May,1.353
2002-Jun,1.341
2002-Jul,1.364
2002-Aug,1.358
2002-Sep,1.363
2002-Oct,1.427
2002-Nov,1.385
2002-Dec,1.348
2003-Jan,1.424
2003-Feb,1.582
2003-Mar,1.636
2003-Apr,1.517
2003-May,1.438
2003-Jun,1.452
2003-Jul,1.48
2003-Aug,1.588
2003-Sep,1.616
2003-Oct,1.513
2003-Nov,1.474
2003-Dec,1.448
2004-Jan,1.555
2004-Feb,1.615
2004-Mar,1.689
2004-Apr,1.756
2004-May,1.945
2004-Jun,1.91
2004-Jul,1.863
2004-Aug,1.842
2004-Sep,1.841
2004-Oct,1.954
2004-Nov,1.932
2004-Dec,1.8
2005-Jan,1.811
2005-Feb,1.886
2005-Mar,2.063
2005-Apr,2.211
2005-May,2.114
2005-Jun,2.123
2005-Jul,2.247
2005-Aug,2.449
2005-Sep,2.862
2005-Oct,2.689
2005-Nov,2.222
2005-Dec,2.174
2006-Jan,2.3
2006-Feb,2.249
2006-Mar,2.413
2006-Apr,2.719
2006-May,2.831
2006-Jun,2.808
2006-Jul,2.923
2006-Aug,2.91
2006-Sep,2.501
2006-Oct,2.214
2006-Nov,2.211
2006-Dec,2.284
2007-Jan,2.191
2007-Feb,2.235
2007-Mar,2.503
2007-Apr,2.787
2007-May,3.119
2007-Jun,3.024
2007-Jul,2.947
2007-Aug,2.777
2007-Sep,2.817
2007-Oct,2.791
2007-Nov,3.064
2007-Dec,2.984
2008-Jan,3.018
2008-Feb,3.016
2008-Mar,3.215
2008-Apr,3.421
2008-May,3.735
2008-Jun,3.989
2008-Jul,4.002
2008-Aug,3.74
2008-Sep,3.709
2008-Oct,3.01
2008-Nov,2.099
2008-Dec,1.669
2009-Jan,1.772
2009-Feb,1.892
2009-Mar,1.937
2009-Apr,2.021
2009-May,2.24
2009-Jun,2.597
2009-Jul,2.478
2009-Aug,2.562
2009-Sep,2.48
2009-Oct,2.5
2009-Nov,2.614
2009-Dec,2.568
2010-Jan,2.678
2010-Feb,2.603
2010-Mar,2.742
2010-Apr,2.818
2010-May,2.795
2010-Jun,2.684
2010-Jul,2.679
2010-Aug,2.683
2010-Sep,2.678
2010-Oct,2.766
2010-Nov,2.815
2010-Dec,2.951
2011-Jan,3.058
2011-Feb,3.168
2011-Mar,3.509
2011-Apr,3.746
2011-May,3.849
2011-Jun,3.628
2011-Jul,3.614
2011-Aug,3.612
2011-Sep,3.573
2011-Oct,3.4
2011-Nov,3.33
2011-Dec,3.22
2012-Jan,3.33
2012-Feb,3.517
2012-Mar,3.774
2012-Apr,3.837
2012-May,3.643
2012-Jun,3.465
2012-Jul,3.379
2012-Aug,3.668
2012-Sep,3.801
2012-Oct,3.653
2012-Nov,3.38
2012-Dec,3.256
2013-Jan,3.255
2013-Feb,3.605
2013-Mar,3.648
2013-Apr,3.501
2013-May,3.565
2013-Jun,3.576
2013-Jul,3.515
2013-Aug,3.515
2013-Sep,3.474
2013-Oct,3.285
2013-Nov,3.186
2013-Dec,3.209
2014-Jan,3.252
2014-Feb,3.305
2014-Mar,3.474
2014-Apr,3.59
2014-May,3.601
2014-Jun,3.626
2014-Jul,3.539
2014-Aug,3.425
2014-Sep,3.354
2014-Oct,3.12
2014-Nov,2.875
2014-Dec,2.488
2015-Jan,2.046
2015-Feb,2.152
2015-Mar,2.352
2015-Apr,2.369
2015-May,2.578
2015-Jun,2.7
2015-Jul,2.666
2015-Aug,2.522
2015-Sep,2.275
2015-Oct,2.23
2015-Nov,2.088
2015-Dec,1.946
2016-Jan,1.843
2016-Feb,1.681
2016-Mar,1.895
2016-Apr,2.027
2016-May,2.199
2016-Jun,2.303
2016-Jul,2.157
2016-Aug,2.119
2016-Sep,2.161
2016-Oct,2.186
2016-Nov,2.105
2016-Dec,2.192
2017-Jan,2.285
2017-Feb,2.227
2017-Mar,2.243
2017-Apr,2.34
2017-May,2.303
2017-Jun,2.257
2017-Jul,2.211
2017-Aug,2.297
2017-Sep,2.57
2017-Oct,2.43
2017-Nov,2.474
2017-Dec,2.388
2018-Jan,2.467
2018-Feb,2.488
2018-Mar,2.488
2018-Apr,2.652
2018-May,2.808
2018-Jun,2.802
2018-Jul,2.77
2018-Aug,2.768
2018-Sep,2.769
2018-Oct,2.785
2018-Nov,2.561
2018-Dec,2.263
