Price,Registration,Electric_Sales,Consumption
1.279,"217,566,789",0.00078,1080
1.371,"217,566,789",0.00078,1010
1.498,"217,566,789",0.00078,1080
1.437,"217,566,789",0.00078,1045
1.456,"217,566,789",0.00078,1080
1.612,"217,566,789",0.00078,1045
1.529,"217,566,789",0.00078,1080
1.439,"217,566,789",0.00078,1080
1.525,"217,566,789",0.00078,1045
1.508,"217,566,789",0.00078,1080
1.495,"217,566,789",0.00078,1045
1.418,"217,566,789",0.00078,1080
1.427,"226,646,079",0.00169,1235
1.431,"226,646,079",0.00169,1115
1.384,"226,646,079",0.00169,1235
1.517,"226,646,079",0.00169,1195
1.654,"226,646,079",0.00169,1235
1.548,"226,646,079",0.00169,1195
1.34,"226,646,079",0.00169,1235
1.386,"226,646,079",0.00169,1235
1.506,"226,646,079",0.00169,1195
1.274,"226,646,079",0.00169,1235
1.139,"226,646,079",0.00169,1195
1.072,"226,646,079",0.00169,1235
1.094,"225,772,196",0.003,1270
1.09,"225,772,196",0.003,1147
1.221,"225,772,196",0.003,1270
1.362,"225,772,196",0.003,1229
1.353,"225,772,196",0.003,1270
1.341,"225,772,196",0.003,1229
1.364,"225,772,196",0.003,1270
1.358,"225,772,196",0.003,1270
1.363,"225,772,196",0.003,1229
1.427,"225,772,196",0.003,1270
1.385,"225,772,196",0.003,1229
1.348,"225,772,196",0.003,1270
1.424,"227,475,999",0.00396,1552
1.582,"227,475,999",0.00396,1402
1.636,"227,475,999",0.00396,1552
1.517,"227,475,999",0.00396,1502
1.438,"227,475,999",0.00396,1552
1.452,"227,475,999",0.00396,1502
1.48,"227,475,999",0.00396,1552
1.588,"227,475,999",0.00396,1552
1.616,"227,475,999",0.00396,1502
1.513,"227,475,999",0.00396,1552
1.474,"227,475,999",0.00396,1502
1.448,"227,475,999",0.00396,1552
1.555,"233,266,291",0.00702,1737
1.615,"233,266,291",0.00702,1625
1.689,"233,266,291",0.00702,1737
1.756,"233,266,291",0.00702,1681
1.945,"233,266,291",0.00702,1737
1.91,"233,266,291",0.00702,1681
1.863,"233,266,291",0.00702,1737
1.842,"233,266,291",0.00702,1737
1.841,"233,266,291",0.00702,1681
1.954,"233,266,291",0.00702,1737
1.932,"233,266,291",0.00702,1681
1.8,"233,266,291",0.00702,1737
1.811,"237,139,650",0.01716,1944
1.886,"237,139,650",0.01716,1755
2.063,"237,139,650",0.01716,1944
2.211,"237,139,650",0.01716,1881
2.114,"237,139,650",0.01716,1944
2.123,"237,139,650",0.01716,1881
2.247,"237,139,650",0.01716,1944
2.449,"237,139,650",0.01716,1944
2.862,"237,139,650",0.01716,1881
2.689,"237,139,650",0.01716,1944
2.222,"237,139,650",0.01716,1881
2.174,"237,139,650",0.01716,1944
2.3,"240,059,464",0.02099,2016
2.249,"240,059,464",0.02099,1821
2.413,"240,059,464",0.02099,2016
2.719,"240,059,464",0.02099,1951
2.831,"240,059,464",0.02099,2016
2.808,"240,059,464",0.02099,1951
2.923,"240,059,464",0.02099,2016
2.91,"240,059,464",0.02099,2016
2.501,"240,059,464",0.02099,1951
2.214,"240,059,464",0.02099,2016
2.211,"240,059,464",0.02099,1951
2.284,"240,059,464",0.02099,2016
2.191,"243,094,356",0.02926,2094
2.235,"243,094,356",0.02926,1891
2.503,"243,094,356",0.02926,2094
2.787,"243,094,356",0.02926,2026
3.119,"243,094,356",0.02926,2094
3.024,"243,094,356",0.02926,2026
2.947,"243,094,356",0.02926,2094
2.777,"243,094,356",0.02926,2094
2.817,"243,094,356",0.02926,2026
2.791,"243,094,356",0.02926,2094
3.064,"243,094,356",0.02926,2026
2.984,"243,094,356",0.02926,2094
3.018,"243,952,583",0.02631,2201
3.016,"243,952,583",0.02631,2059
3.215,"243,952,583",0.02631,2201
3.421,"243,952,583",0.02631,2130
3.735,"243,952,583",0.02631,2201
3.989,"243,952,583",0.02631,2130
4.002,"243,952,583",0.02631,2201
3.74,"243,952,583",0.02631,2201
3.709,"243,952,583",0.02631,2130
3.01,"243,952,583",0.02631,2201
2.099,"243,952,583",0.02631,2130
1.669,"243,952,583",0.02631,2201
1.772,"242,058,344",0.02419,2315
1.892,"242,058,344",0.02419,2091
1.937,"242,058,344",0.02419,2315
2.021,"242,058,344",0.02419,2241
2.24,"242,058,344",0.02419,2315
