Date,Price
2000-Q1,1.383
2000-Q2,1.502
2000-Q3,1.498
2000-Q4,1.474
2001-Q1,1.414
2001-Q2,1.573
2001-Q3,1.411
2001-Q4,1.162
2002-Q1,1.135
2002-Q2,1.352
2002-Q3,1.362
2002-Q4,1.387
2003-Q1,1.547
2003-Q2,1.469
2003-Q3,1.561
2003-Q4,1.478
2004-Q1,1.620
2004-Q2,1.870
2004-Q3,1.849
2004-Q4,1.895
2005-Q1,1.920
2005-Q2,2.149
2005-Q3,2.519
2005-Q4,2.362
2006-Q1,2.321
2006-Q2,2.786
2006-Q3,2.778
2006-Q4,2.236
2007-Q1,2.310
2007-Q2,2.977
2007-Q3,2.847
2007-Q4,2.946
2008-Q1,3.083
2008-Q2,3.715
2008-Q3,3.817
2008-Q4,2.259
2009-Q1,1.867
2009-Q2,2.286
2009-Q3,2.507
2009-Q4,2.561
2010-Q1,2.674
2010-Q2,2.766
2010-Q3,2.680
2010-Q4,2.844
2011-Q1,3.245
2011-Q2,3.741
2011-Q3,3.600
2011-Q4,3.317
2012-Q1,3.540
2012-Q2,3.648
2012-Q3,3.616
2012-Q4,3.430
2013-Q1,3.503
2013-Q2,3.547
2013-Q3,3.501
2013-Q4,3.227
2014-Q1,3.344
2014-Q2,3.606
2014-Q3,3.439
2014-Q4,2.828
2015-Q1,2.183
2015-Q2,2.549
2015-Q3,2.488
2015-Q4,2.088
2016-Q1,1.806
2016-Q2,2.176
2016-Q3,2.146
2016-Q4,2.161
2017-Q1,2.252
2017-Q2,2.300
2017-Q3,2.359
2017-Q4,2.431
2018-Q1,2.481
2018-Q2,2.754
2018-Q3,2.769
2018-Q4,2.536
